review_id,model_text,keyakinan,sentimen_pakar1,sentimen_pakar2,sentimen_adjudikasi
DATA-000189840,mengenai keluhan saldo terpotong token tidak masuk ditanggapi semoga lebih baik respon kedepannya sebelumnya lancar transaksi,0.5096,,,
DATA-000125775,selamat malam elektrizen mohon maaf sebelumnya saran masukan aplikasi bisa nomor meternya ditambah batasan beri nomor meter bisa disimpan soalnya cuman bisa nomor meter disimpan semoga aplikasi pln mobile tetap terus berkembang semoga masukan dipertimbangkan yaa terima kasih,0.5096,,,
DATA-000009926,semoga tagihan listrik bulan depan tidak 2x lipat normal,0.5095,,,
DATA-000133109,semoga semakin bagus aplikasinya banyak promo buat menarik banyak minat misal beli pulsa biaya admin selama bulan kedepan,0.509,,,
DATA-000025067,semoga meringankan ekonomi buat pelanggan setian pln masukan kode refferal foonrc biar makin hemat terima kasih,0.5084,,,
DATA-000005112,semoga aplikasinya semakin lebih baik masukan menambahkan nama teknisi penerima laporan waktu penangan menu pelaporan,0.5084,,,
DATA-000097175,semoga ngak dinaikkan tarif plnnya,0.5081,,,
DATA-000038774,mudah2an kedepannya promo penambahan daya listrik tidak dikenakan biaya,0.508,,,
DATA-000010011,ada salah cara ampuh untuk meningkatkan kualitas pelayanan sempet memburuk semoga kedepan semakin membaik pelayanannya maupun kualitas performa unit gardu tempat bulan kedepan tidak kendala lagi bintang full terima kasih,0.5079,,,
DATA-000032975,semoga bermafaat mengatasi ganguan terjadi kelistrikan kendala mungkin bisa membantu,0.5069,,,
DATA-000017320,mohon tingkatkan bisa mengisi saldo mengisikan token pln,0.5068,,,
DATA-000045383,saya mau menambahkan id pln lebih bagaimana adm terima kasih,0.5059,,,
DATA-000133994,sedikit saran bila mengalmi pemadaman seharus pemberitauhan aplikasi pln mobail terimaksih,0.5055,,,
DATA-000318470,saran tambahkan fitur deteksi terbaca berapa sisa token listrik rumah terhubung aplikasi pln mobile mempermudah cek berkala melalui jarak jauh pln mobile terima kasih,0.5054,,,
DATA-000136733,baru instal aplikasi cukup membantu tambahi tempat pembayaran pembelian token listrik kalo bisa sediakan fitur top up saldo pembelian pulsa isi ulang tol biar bisa membantu umkm terima kasih semoga kedepan bisa lebih baik,0.5048,,,
DATA-000125504,baru instal mungkin saya belum mengerti aplikasi saya mau usul saran mungkin pln bisa menambahkan fitur pantau realtime kilometer dirumah bisa memberikan notifikasi app apabila listrik habis bisa diisi jarak jauh terima kasih,0.5048,,,
DATA-000133937,semoga kedepan bisa lebih baik menindak lanjuti pengaduan pelanggan,0.5043,,,
DATA-000122624,mohon penjelasanya apa kegunaan aplikasi keluhan pengaduan pelanggan disepelekan,0.5041,,,
DATA-000118096,sebaiknya ditambah informasi pemadaman listrik kejadian biar tau update infonya,0.5041,,,
DATA-000123945,aplikasinya bagus sekedar saran bisa sediakan fitur ganti nama konsumen sesuai ktp soalnya banyak perubahan ktp salah satunya perbaikan nama penambahan gelar biar bisa disesuaikan nama pelanggan nama ktp terima kasih,0.5039,,,
DATA-000125513,mencoba pakai app biasanya sllu telepon customer service semoga bisa membantu terima kasih,0.5038,,,
DATA-000134134,mohon ditambahkan nama alias id pelanggan bisa mempermudah apabila mempunyai nomor id pelanggan lebih satu kwh meter harapannya nama alias mempermudah user terima kasih,0.5033,,,
DATA-000167289,semoga bisa lebih cepat tanggap masalah padam listrik kasian pedagang kecil trima kasih,0.5032,,,
DATA-000178240,semoga terus lebih baik saran penyampaian alasan gangguan notif dijelaskan lebih rinci tidak padam menyala dilengkapi informasi sop pengelolaan pengaduan kategori gangguan padam maupun keluhan,0.5028,,,
DATA-000095940,mohon diperhatikan keluarga tidak mampu meminta kesempatan mendapatkan bantuan token listrik gratis terima kasih,0.5021,,,
DATA-000123074,semoga kedepannya bisa login akun linkaja bisa transaksi my pertamina terima kasih,0.502,,,
DATA-000102189,semoga aplikasinya bisa mempermudah tuk pelanggan pln tuk depannya,0.5012,,,
DATA-000054940,tambahkan info mengenai pemadaman apa terjadi id pelanggan biar penggunaan listrik tidak was was,0.5011,,,
DATA-000376958,baru download dicoba dulu semoga aplikasi berguna kedepannya,0.5007,,,
DATA-000177668,lebih baik bisa buat beli token admin semoga tidak kendala,0.5003,,,
DATA-000020204,semoga aplikasi bisa gunakan melaporkan gangguan meteran pln,0.5002,,,
DATA-000007715,kendala bisa cepat ditangani langsung dihubungi via wa masukannya mungkin penambahan id bisa diperbanyak jumlahnya mengelola beberapa rekening terima kasih,0.4995,,,
DATA-000136764,kalo bisa info gangguan biar pelanggan tau masalahnya apa titik gangguannya saran terima kasih pln mobile mantaap hebaat,0.4994,,,
DATA-000152811,semoga bisa lebih baik apknya,0.4986,,,
DATA-000193723,semoga data pribadi saya tidak bocor,0.4985,,,
DATA-000036712,mohon lengkapi info aplikasi jadwal pemadaman bergilir lebih update infonya terutama wilayah makassar sekitarnya,0.4981,,,
DATA-000132062,untuk aplikasi baru kurang bagus justru mending aplikasi lama lebih lengkap fiturnya semoga bisa diperbaiki,0.498,,,
DATA-000137912,update selanjutnya masukan ditambah nomor id pelangganya sejauh maks ditambah kapasitas id pelanggan pln mobile terima kasih,0.4977,,,
DATA-000266640,semoga aplikasi pln bisa bikin gratis transaksi syukur poin untuk ditukar token,0.4976,,,
DATA-000054211,semoga waktu jadwal baca meter mandiri tidak error tidak lamban,0.4976,,,
DATA-000083224,mungkin perlu ditambahkan mengecek berapa sisa pulsa token,0.4975,,,
DATA-000185620,mohon upayakan biar vitur berbagi bisa cetak struk terima kasih,0.4972,,,
DATA-000387419,kakak perihal kelistrikan kira kira apa bisa admin bantu mohon diinfokan via dm admin menunggu konfirmasi lebih lanjut terima kasih subi,0.497,,,
DATA-000184019,ditingkatkan pelayanannya berharap semoga pemadaman listrik bisa ditangani baik tidak sesering,0.4969,,,
DATA-000171625,semoga bisa memberi manfaat bisa membantu meringankan masyarakat membutuhkan informasi dah lainnya berhubungan dengan pln,0.4966,,,
DATA-000098007,ka tambahkan metode pembayaran shopeepay donk memudahkan menggunakan pln mobilenya terima kasih,0.4965,,,
DATA-000029135,masukan riwayat tagihan perbulan id meteran terdaftar masing masing user terima kasih,0.4965,,,
DATA-000104547,permisi izin nanya update aplikasi pln mobile mengetahui history pembelian token listrik sebelumnya bagaimana caranya mohon informasinya terima kasih,0.4964,,,
DATA-000192331,kalo segi pelayanan pengaduan kurang memuaskan semoga bisa tingkatan,0.4963,,,
DATA-000111352,pengguna setia pln mobile punya saran pembayaran iconnet virtual accountnya ditambah jgn cuma pakai mandiri bisa briva bca virtual account terima kasih,0.4963,,,
DATA-000161547,mohon lebih tingkatkan semisalnya bisa melihat sisa kwh android hehe,0.4961,,,
DATA-000075808,semoga aplikasi bisa bisa menghilangkan calo oknum2 tidak bertanggung jawab,0.4958,,,
DATA-000134522,semoga kedepan bisa pembayaran iconnet biar lebih berguna aplikasinya terima kasih,0.4954,,,
DATA-000112841,semoga aplikasi bisa memudahkan melapor terjadi kerusakan meteran hal2 teknis lainnya,0.4952,,,
DATA-000132778,smoga bisa membantu memudah info info baik tagihan pln bulanan lainnya trmksh,0.4951,,,
DATA-000311771,saran bisa pantau sisa pulsa bok listrik lebih ajibb,0.4945,,,
DATA-000051602,semoga cepet daerah susah dijangkau untuk trouble pemadaman listrik,0.4941,,,
DATA-000031950,maaf ganggu tombol keyboard pada token listrik macet bisa diperbaiki secepatnya boz terima kasih,0.494,,,
DATA-000175262,semoga bisa ditingkatkan kemudahan pelaporannya terima kasih,0.494,,,
DATA-000142578,semoga bermanfaat perlu nomer wa biar lebih cepat laporan bila terjadi gangguan,0.4939,,,
DATA-000158774,mohon ditambahkan fitur mengetahui nomor meteran listrik cara input id pelanggan baik prabayar maupun pascabayar,0.4938,,,
DATA-000078131,semoga aplikasinya bisa bermanfaat tuk kedepannya,0.493,,,
DATA-000268143,semoga fitur tersedia aplikasi bisa diaplikasikan ditingkat paling bawah terkecuali terima kasih,0.493,,,
DATA-000215660,semoga kedepannya pilihan pembelian kwhnya lebih banyak,0.4929,,,
DATA-000116506,kalo saran aplikasi dikasih fitur riwayat tagihan seprti dulu terima kasih,0.4926,,,
DATA-000163350,mohon pln lebih bisa tanggap penangan keluhan semoga pln kedepan lebih baik,0.4926,,,
DATA-000138382,harapan nnti bilamana terjadi permasalahan kwh pulsa listrik mana awam dengan kode2 pengaduan semoga mendapatkan solusi terbantu dengan aplikasi amin selamat bertugas sukses selalu,0.4926,,,
DATA-000138562,mohon fiturnya tambahin misal pengaduan gangguan tingkatkan pelayananya,0.4925,,,
DATA-000127560,trm ksh cukup informatif untuk sarannya mohon ditambahkan fitur simulasi catat angka meteran pembanding hitungan tagihannya,0.4923,,,
DATA-000170432,semoga petugas bisa segera melayani gangguan2 listrik terjadi rumah pelanggan,0.4922,,,
DATA-000053659,semoga aplikasi bisa membantu tuk kedepannya,0.4921,,,
DATA-000097933,ulasan tagihan listrik bisa ketahui baik krn data angka meter catatan bulan bulan sedang berjalan tau lebih rinci tagihan listriknya apabila tagihan listrik berbeda hasil swacam bisa complain pln semoga kedepannya menjadi lebih baik pelayanannya mantap,0.492,,,
